,A070101_sj,A070102_sj,A070103_sj,A070104_sj,A070105_sj,A070106_sj,A070107_sj,A070108_sj
201012,15329.5,154553.7,19.1,18.4,0.0,0.0,0.0,0.0
201011,13910.9,139224.2,18.7,18.4,0.0,0.0,0.0,0.0
201010,14284.8,125313.3,18.64,18.3,0.0,0.0,0.0,0.0
201009,13536.5,111028.5,18.84,18.3,0.0,0.0,0.0,0.0
201008,12569.8,97492.0,18.4,18.2,0.0,0.0,0.0,0.0
201007,12252.8,84922.2,17.9480762011109,18.1675871310316,0.0,0.0,0.0,0.0
201006,12329.9,72669.4,18.3,18.2,0.0,0.0,0.0,0.0
201005,12455.0617,60339.4617,18.657329846613,18.1797423527016,0.0,0.0,0.0,0.0
201004,11510.4,47884.4,18.5,18.1,0.0,0.0,0.0,0.0
201003,11321.7,36374.0,18.0,17.9,0.0,0.0,0.0,0.0
201002,12334.2,25052.3,22.1,17.9,0.0,0.0,0.0,0.0
201001,12718.1,12718.1,14.0,14.0,0.0,0.0,0.0,0.0
200912,12610.0,125342.7,17.5374003821597,15.5363234726149,0.0,0.0,0.0,0.0
200911,11339.0,112732.7,15.8128038566818,15.3167169944108,0.0,0.0,0.0,0.0
200910,11717.6,101393.7,16.2149027542226,15.261502994257,0.0,0.0,0.0,0.0
200909,10912.8,89676.1,15.5221510612396,15.1380805462364,0.0,0.0,0.0,0.0
200908,10115.6,78763.3,15.4,15.1,0.0,0.0,0.0,0.0
200907,9936.5,68647.7,15.2,15.0,0.0,0.0,0.0,0.0
200906,9941.6,58711.2,15.0,15.0,0.0,0.0,0.0,0.0
200905,10028.4,48769.6,15.2,15.0,0.0,0.0,0.0,0.0
200904,9343.2,38741.2,14.8,15.0,0.0,0.0,0.0,0.0
200903,9317.6,29398.0,14.7,15.0,0.0,0.0,0.0,0.0
200902,9323.8,20080.4,11.6,15.2,0.0,0.0,0.0,0.0
200901,10756.6,10756.6,18.5,18.5,0.0,0.0,0.0,0.0
200812,10728.5,108487.7,19.0,21.6,0.0,0.0,0.0,0.0
200811,9790.8,97759.2,20.8,21.9,0.0,0.0,0.0,0.0
200810,10082.7,87968.4,22.0,22.0,0.0,0.0,0.0,0.0
200809,9446.5,77885.7,23.2,22.0,0.0,0.0,0.0,0.0
200808,8767.7,68439.2,23.2,21.9,0.0,0.0,0.0,0.0
200807,8628.8,59671.5,23.3,21.7,0.0,0.0,0.0,0.0
200806,8642.0,51042.7,23.0,21.4,0.0,0.0,0.0,0.0
200805,8703.5,42400.7,21.6,21.1,0.0,0.0,0.0,0.0
200804,8142.0,33697.2,22.0,21.0,0.0,0.0,0.0,0.0
200803,8123.2,25555.2,21.5,20.6,0.0,0.0,0.0,0.0
200802,8354.7,17432.0,19.1,20.2,0.0,0.0,0.0,0.0
200801,9077.3,9077.3,21.2,21.2,0.0,0.0,0.0,0.0
200712,9015.3,89210.0,20.2,16.8,0.0,0.0,0.0,0.0
200711,8104.7,80194.7,18.8,16.4,0.0,0.0,0.0,0.0
200710,8263.0,72090.0,18.1,16.1,0.0,0.0,0.0,0.0
200709,7668.4,63827.0,17.010498046875,15.8565583739023,0.0,0.0,0.0,0.0
200708,7116.6,56158.6,17.1,15.7,0.0,0.0,0.0,0.0
200707,6998.2,49042.0,16.4,15.5,0.0,0.0,0.0,0.0
200706,7026.0,42043.8,15.9826999900954,15.4,0.0,0.0,0.0,0.0
200705,7157.5,35017.8,15.9,15.2,0.0,0.0,0.0,0.0
200704,6672.5,27860.3,15.5,15.1,0.0,0.0,0.0,0.0
200703,6685.8,21187.8,15.3380371590733,14.9000553139337,0.0,0.0,0.0,0.0
200702,7013.7,14502.0,16.8579949682601,14.6992525803773,0.0,0.0,0.0,0.0
200701,7488.3,7488.3,12.7483288266178,12.7483288266178,0.0,0.0,0.0,0.0
200612,7499.2,76410.0,14.6,13.7,0.0,0.0,0.0,0.0
200611,6821.7,68910.8,14.1,13.6,0.0,0.0,0.0,0.0
200610,6997.7,62089.1,14.348977057324,13.5999956088912,0.0,0.0,0.0,0.0
200609,6553.6,55091.4,13.9,13.5,0.0,0.0,0.0,0.0
200608,6077.4,48537.8,13.8,13.4519326737209,0.0,0.0,0.0,0.0
200607,6012.2,42460.4,13.7,13.4155754320648,0.0,0.0,0.0,0.0
200606,6057.8,36448.2,13.9,13.3,0.0,0.0,0.0,0.0
200605,6175.6,30390.4,14.2,13.2,0.0,0.0,0.0,0.0
200604,5774.6,24214.8,13.5547558649441,12.9985580490263,0.0,0.0,0.0,0.0
200603,5796.7,18440.2,13.5,12.8,0.0,0.0,0.0,0.0
200602,6001.9,12643.5,9.4,12.5,0.0,0.0,0.0,0.0
200601,6641.6,6641.6,15.5,15.5,0.0,0.0,0.0,0.0
