,A070101_sj,A070102_sj,A070103_sj,A070104_sj,A070105_sj,A070106_sj,A070107_sj,A070108_sj
198704,383.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198703,391.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198702,394.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198701,445.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198612,481.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198611,405.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198610,382.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198609,378.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198608,333.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198607,326.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198606,340.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198605,332.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198604,329.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198603,335.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198602,346.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198601,381.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198512,411.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198511,341.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198510,319.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198509,317.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198508,284.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198507,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198506,295.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198505,291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198504,290.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198503,308.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198502,320.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198501,338.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198412,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198411,265.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198410,240.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198409,232.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198408,205.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198407,199.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198406,207.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198405,204.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198404,198.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198403,199.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198402,201.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198401,245.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
