,A0C0102_sj,A0C0103_sj
200105,6462.58,28.9
200104,5235.98,28.8
200103,3682.01,27.9
200102,2383.03,32.1
200101,0.0,0.0
200012,0.0,0.0
200011,11912.77,21.2
200010,10806.85,21.6
200009,9560.56,20.8
200008,8479.36,19.8
200007,7436.52,17.4
200006,6240.17,17.9
200005,5012.93,20.6
200004,4064.75,22.8
200003,2878.43,23.8
200002,1803.68,25.3
200001,0.0,0.0
199912,0.0,0.0
199911,9828.12,18.2
199910,8886.72,19.4
199909,7911.25,21.0
199908,7080.62,22.8
199907,6331.98,23.7
199906,5294.23,24.3
199905,4157.86,24.9
199904,3308.91,24.6
199903,2324.44,26.1
199902,1439.01,28.6
199901,0.0,0.0
199812,0.0,0.0
199811,8317.37,11.6
199810,7444.87,10.0
199809,6539.51,10.4
199808,5765.88,8.9
199807,5120.29,8.6
199806,4258.17,9.2
199805,3328.28,7.7
199804,2655.52,9.6
199803,1842.71,8.7
199802,1119.47,9.3
199801,0.0,0.0
199712,0.0,0.0
199711,0.0,0.0
199710,0.0,0.0
199709,0.0,0.0
199708,0.0,0.0
199707,0.0,0.0
199706,0.0,0.0
199705,0.0,0.0
199704,0.0,0.0
199703,0.0,0.0
199702,0.0,0.0
199701,0.0,0.0
199612,0.0,0.0
199611,0.0,0.0
199610,0.0,0.0
199609,0.0,0.0
199608,0.0,0.0
199607,0.0,0.0
199606,0.0,0.0
199605,0.0,0.0
199604,0.0,0.0
199603,0.0,0.0
199602,0.0,0.0
199601,0.0,0.0
199512,0.0,0.0
199511,0.0,0.0
199510,0.0,0.0
199509,0.0,0.0
199508,0.0,0.0
199507,0.0,0.0
199506,0.0,0.0
199505,0.0,0.0
199504,0.0,0.0
199503,0.0,0.0
199502,0.0,0.0
199501,0.0,0.0
199412,0.0,0.0
199411,0.0,0.0
199410,0.0,0.0
199409,0.0,0.0
199408,0.0,0.0
199407,0.0,0.0
199406,0.0,0.0
199405,0.0,0.0
199404,0.0,0.0
199403,0.0,0.0
199402,0.0,0.0
199401,0.0,0.0
199312,0.0,0.0
199311,0.0,0.0
199310,0.0,0.0
199309,0.0,0.0
199308,0.0,0.0
199307,0.0,0.0
199306,0.0,0.0
199305,0.0,0.0
199304,0.0,0.0
199303,0.0,0.0
199302,0.0,0.0
199301,0.0,0.0
199212,0.0,0.0
199211,0.0,0.0
199210,0.0,0.0
199209,0.0,0.0
199208,0.0,0.0
199207,0.0,0.0
199206,0.0,0.0
199205,0.0,0.0
199204,0.0,0.0
199203,0.0,0.0
199202,0.0,0.0
199201,0.0,0.0
199112,0.0,0.0
199111,0.0,0.0
199110,0.0,0.0
199109,0.0,0.0
199108,0.0,0.0
199107,0.0,0.0
199106,0.0,0.0
199105,0.0,0.0
199104,0.0,0.0
199103,0.0,0.0
199102,0.0,0.0
199101,0.0,0.0
199012,0.0,0.0
199011,0.0,0.0
199010,0.0,0.0
199009,0.0,0.0
199008,0.0,0.0
199007,0.0,0.0
199006,0.0,0.0
199005,0.0,0.0
199004,0.0,0.0
199003,0.0,0.0
199002,0.0,0.0
199001,0.0,0.0
198912,0.0,0.0
198911,0.0,0.0
198910,0.0,0.0
198909,0.0,0.0
198908,0.0,0.0
198907,0.0,0.0
198906,0.0,0.0
198905,0.0,0.0
198904,0.0,0.0
198903,0.0,0.0
198902,0.0,0.0
198901,0.0,0.0
198812,0.0,0.0
198811,0.0,0.0
198810,0.0,0.0
198809,0.0,0.0
198808,0.0,0.0
198807,0.0,0.0
198806,0.0,0.0
198805,0.0,0.0
198804,0.0,0.0
198803,0.0,0.0
198802,0.0,0.0
198801,0.0,0.0
198712,0.0,0.0
198711,0.0,0.0
198710,0.0,0.0
198709,0.0,0.0
198708,0.0,0.0
198707,0.0,0.0
198706,0.0,0.0
198705,0.0,0.0
198704,0.0,0.0
198703,0.0,0.0
198702,0.0,0.0
198701,0.0,0.0
198612,0.0,0.0
198611,0.0,0.0
198610,0.0,0.0
198609,0.0,0.0
198608,0.0,0.0
198607,0.0,0.0
198606,0.0,0.0
198605,0.0,0.0
198604,0.0,0.0
198603,0.0,0.0
198602,0.0,0.0
198601,0.0,0.0
198512,0.0,0.0
198511,0.0,0.0
198510,0.0,0.0
198509,0.0,0.0
198508,0.0,0.0
198507,0.0,0.0
198506,0.0,0.0
198505,0.0,0.0
198504,0.0,0.0
198503,0.0,0.0
198502,0.0,0.0
198501,0.0,0.0
198412,0.0,0.0
198411,0.0,0.0
198410,0.0,0.0
198409,0.0,0.0
198408,0.0,0.0
198407,0.0,0.0
198406,0.0,0.0
198405,0.0,0.0
198404,0.0,0.0
198403,0.0,0.0
198402,0.0,0.0
198401,0.0,0.0
198312,0.0,0.0
198311,0.0,0.0
198310,0.0,0.0
198309,0.0,0.0
198308,0.0,0.0
198307,0.0,0.0
198306,0.0,0.0
198305,0.0,0.0
198304,0.0,0.0
198303,0.0,0.0
198302,0.0,0.0
198301,0.0,0.0
